record_id,journal_name,pub_year,subject_terms,cluster_id
88794,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2015,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88795,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2015,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",6
88796,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2015,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88797,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2015,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88798,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2016,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",0
88799,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2016,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88800,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2016,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88801,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2016,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88802,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2017,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",6
88803,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2017,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88804,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2017,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88805,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2017,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88806,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2018,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88807,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2018,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",5
88808,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2018,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88809,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,2018,"Computer Science, Hardware & Architecture,Engineering, Electrical & Electronic,Nanoscience & Nanotechnology,Computer Science,Engineering,Science & Technology - Other Topics",2
88810,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2000,"Computer Science, Information Systems,Computer Science",1
88811,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2000,"Computer Science, Information Systems,Computer Science",3
88812,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2000,"Computer Science, Information Systems,Computer Science",2
88813,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2000,"Computer Science, Information Systems,Computer Science",3
